-2.0,29.5,8.5,26.0,-11.0,197.5,69.0
53.5,131.5,115.0,45.0,124.0,103.0,115.0
53.5,103.0,103.0,103.0,58.0,58.0,58.0
53.5,28.0,96.0,96.0,150.5,96.0,96.0
202.0,182.5,-24.5,317.5,182.5,-24.5,-24.5
91.5,181.0,181.0,53.5,78.0,-33.5,96.0
182.5,182.5,182.5,181.0,181.0,148.5,148.5
52.0,165.0,171.0,166.5,96.0,96.0,96.0
156.5,96.0,181.0,-8.0,96.0,181.0,-51.0
53.5,53.5,-27.5,65.0,65.0,-30.5,156.0
53.5,-49.5,-189.0,307.5,249.5,307.5,204.0
302.0,249.0,249.0,159.0,159.5,403.0,-15.5
76.0,80.0,-42.5,53.5,-28.0,371.0,227.0
-42.5,158.5,241.0,234.0,160.0,436.0,249.5
251.0,299.0,221.0,176.0,299.0,299.0,299.0
53.5,212.5,53.5,212.5,-205.0,178.5,95.0
177.0,53.5,-8.0,97.0,53.5,-39.5,85.0
222.0,223.5,-39.5,53.5,258.0,234.0,223.5
350.0,42.5,270.0,-8.0,270.0,270.0,270.0
312.0,53.5,277.5,277.5,277.5,374.5,277.5
-180.5,205.5,298.5,-48.0,-69.5,-49.5,59.5
303.5,197.0,88.5,191.5,197.0,389.5,210.5
33.5,86.0,239.5,54.0,239.5,156.5,239.5
239.5,38.0,-29.5,6.5,239.5,-83.5,239.5
239.5,41.0,67.0,-193.0,239.5,85.5,241.0
38.0,257.5,75.0,126.0,257.5,265.0,257.5
213.5,229.5,263.5,68.5,-203.0,33.5,-203.0
35.0,148.0,207.0,36.5,207.0,33.5,148.0
236.5,206.5,26.5,96.5,365.5,-112.5,205.5
-59.5,210.0,180.0,197.0,197.0,318.5,279.5
416.0,158.5,464.0,33.5,-71.0,76.0,-6.5
-28.0,-28.0,-28.0,-28.0,-26.5,-26.5,-26.5
-14.5,71.0,33.5,33.5,33.5,267.5,35.0
193.0,-69.5,-89.5,162.5,-89.5,-178.5,-287.0
-23.5,-25.0,-71.0,-120.0,-28.0,-69.5,-134.5
-89.5,218.0,33.5,-11.5,33.5,374.0,33.5
-298.5,224.5,33.5,35.0,63.5,30.5,18.5
-122.0,-164.5,-48.0,-122.0,-89.5,-214.5,-23.0
-89.5,-69.5,-80.5,-69.5,-231.0,-89.5,-82.0
-345.0,-322.5,-91.0,-69.5,-192.5,-296.0,-321.0
-63.5,-89.5,-91.0,-132.0,-52.0,-59.5,-59.5
-299.5,-295.0,-295.0,-287.5,-295.0,-287.5,-287.5
-295.0,-295.0,-295.0,-295.0,-295.0,-295.0,-295.0
-295.0,-295.0,-295.0,-295.0,-295.0,-295.0,-178.0
-254.5,-281.5,-299.5,-281.5,-281.5,-281.5,-281.5
-295.0,-295.0,-295.0,-295.0,-295.0,-295.0,-272.5
-295.0,-410.5,-277.0,-65.5,-295.0,-272.5,-277.0
-380.5,-272.5,-272.5,-272.5,-29.5,-272.5,-272.5
-113.5,-124.0,-124.0,-101.5,-124.0,-124.0,-128.5
-110.5,-106.0,-106.0,-83.5,-83.5,-106.0,-83.5
-265.0,-437.0,-250.5,-250.5,-250.5,-401.5,-303.0
-47.5,-44.0,-47.5,-62.5,-25.0,-47.5,-60.5
-295.0,-295.0,-265.5,-265.5,-295.0,-265.5,-265.5
-125.5,-295.0,-295.0,-299.5,-295.0,-272.5,-295.0
-272.5,-277.0,-272.5,-52.0,-44.0,-18.0,-52.0
-242.5,-299.5,-295.0,-335.5,-235.0,128.0,-109.0
-272.5,-277.0,-277.0,-250.0,-272.5,-272.5,131.0
-52.0,-250.0,-499.0,-259.0,-295.0,-272.5,-260.5
-289.5,-266.0,-289.5,-272.0,-282.0,-470.0,-258.5
-268.5,-271.5,-295.0,-289.5,-289.5,-289.5,-289.5
-267.0,-267.0,-267.0,-373.5,-267.0,-289.5,-289.5
-226.5,-199.5,-199.5,-471.0,-199.5,-177.0,-199.5
-289.5,-375.0,-267.0,-257.0,-244.5,-267.0,-267.0
-106.5,-208.5,-145.5,-136.5,-136.5,-136.5,-136.5
-82.5,-267.0,-267.0,-244.5,-255.5,-244.5,-267.0
-46.5,-493.5,-424.0,-46.5,-24.0,-64.5,-24.0
-217.5,-240.5,-240.5,-240.5,-396.0,-240.5,-240.5
-306.0,-94.5,-282.0,-396.0,-396.0,-289.5,-396.0
-145.5,-127.5,-493.5,-42.0,-42.0,-42.0,-42.0
-267.0,-289.5,-12.0,-234.0,-42.0,-234.0,-12.0
-289.5,-289.5,-237.0,-237.0,-237.0,-312.5,-237.0
-137.5,-289.5,-289.5,-289.5,-289.5,-247.0,-278.0
-289.5,-267.0,-267.0,-267.0,-267.0,-267.0,-247.5
-353.0,-240.0,-289.5,-267.0,-267.0,-267.0,-244.5
7.5,2.5,2.5,2.5,2.5,2.5,2.5
-10.5,-328.5,-10.5,9.5,9.5,9.5,9.5
-289.5,-61.5,-61.5,-244.5,-267.0,-267.0,-267.0
-151.5,-151.5,-151.5,-151.5,-151.5,-230.5,-151.5
-267.0,-255.5,-255.5,-267.0,-244.5,-267.0,-267.0
